date,ticker,side,qty,avg_fill,notional,signal,position,lev,status,daily_pnl
2026-04-01,SPY,buy,100,500.00,50000.00,mlp_ae_resid,0.50,1.00,paper,120.00
2026-04-02,SPY,sell,50,502.50,25125.00,mlp_ae_resid,0.25,0.80,paper,150.00
2026-04-03,SPY,buy,75,498.00,37350.00,mlp_ae_resid,0.60,1.20,paper,180.00
2026-04-04,SPY,sell,25,505.00,12625.00,mlp_ae_resid,0.35,0.90,paper,140.00
2026-04-05,SPY,buy,120,507.50,60825.00,mlp_ae_resid,0.80,1.50,paper,200.00
2026-04-06,SPY,sell,40,510.00,20400.00,mlp_ae_resid,0.40,1.00,paper,220.00
2026-04-07,SPY,buy,90,508.00,45720.00,mlp_ae_resid,0.70,1.30,paper,190.00
2026-04-08,SPY,sell,30,512.00,15360.00,mlp_ae_resid,0.40,0.95,paper,250.00
2026-04-09,SPY,buy,110,515.00,56650.00,mlp_ae_resid,0.75,1.40,paper,280.00
2026-04-10,SPY,sell,35,518.00,18130.00,mlp_ae_resid,0.40,1.00,paper,240.00
2026-04-11,SPY,buy,130,520.00,67600.00,mlp_ae_resid,0.85,1.60,paper,300.00
2026-04-12,SPY,sell,45,523.00,23535.00,mlp_ae_resid,0.40,1.05,paper,320.00
2026-04-13,SPY,buy,95,525.00,49875.00,mlp_ae_resid,0.65,1.25,paper,290.00
2026-04-14,SPY,sell,50,528.00,26400.00,mlp_ae_resid,0.15,0.70,paper,350.00
2026-04-15,SPY,buy,140,530.00,74200.00,mlp_ae_resid,0.90,1.70,paper,380.00
2026-04-16,SPY,sell,55,533.00,29315.00,mlp_ae_resid,0.35,0.95,paper,340.00
2026-04-17,SPY,buy,125,535.00,66875.00,mlp_ae_resid,0.80,1.50,paper,400.00
2026-04-18,SPY,sell,60,538.00,32280.00,mlp_ae_resid,0.20,0.80,paper,420.00
2026-04-19,SPY,buy,105,540.00,56700.00,mlp_ae_resid,0.70,1.35,paper,390.00
2026-04-20,SPY,sell,40,543.00,21720.00,mlp_ae_resid,0.30,0.90,paper,450.00
2026-04-21,SPY,buy,150,545.00,81750.00,mlp_ae_resid,0.95,1.80,paper,480.00
