date,strategy_profit,pca_profit,avg_corr_profit
2026-04-01,0.012,0.005,0.007
2026-04-02,0.015,0.006,0.008
2026-04-03,0.018,0.007,0.009
2026-04-04,0.014,0.005,0.006
2026-04-05,0.020,0.008,0.010
2026-04-06,0.022,0.009,0.011
2026-04-07,0.019,0.007,0.008
2026-04-08,0.025,0.010,0.012
2026-04-09,0.028,0.011,0.013
2026-04-10,0.024,0.009,0.010
2026-04-11,0.030,0.012,0.014
2026-04-12,0.032,0.013,0.015
2026-04-13,0.029,0.011,0.012
2026-04-14,0.035,0.014,0.016
2026-04-15,0.038,0.015,0.017
2026-04-16,0.034,0.013,0.014
2026-04-17,0.040,0.016,0.018
2026-04-18,0.042,0.017,0.019
2026-04-19,0.039,0.015,0.016
2026-04-20,0.045,0.018,0.020
2026-04-21,0.048,0.019,0.021
